param_names	 VHXT	 Vloc	 basaldeg	 maxdegMT	 KdegMT	 hilldegMT	 basaldegMT	 maxdegST	 KrepMTST	 hillrepMTST	 KdegST	 hilldegST	 basaldegST	 KinhSMG	 deloc	 KrepHMG	 hillHMG	 KrepHMT	 hillHMT	 KrepHST	 hillrepHST	 KMG	 hillMG	 VdegHXT	 threshdegHXT	 hilldegHXT	 basaldegM2	 KrepSTM2	 hillrepSTM2	 KrepHM2	 hillrepHM2	 KinhSM2	 KrepM2MT	 hillrepM2MT	 VinactGM2	 KinactGM2	 hillinactGM2	param_names	 VHXT	 Vloc	 basaldeg	 maxdegMT	 KdegMT	 hilldegMT	 basaldegMT	 maxdegST	 KrepMTST	 hillrepMTST	 KdegST	 hilldegST	 basaldegST	 KinhSMG	 deloc	 KrepHMG	 hillHMG	 KrepHMT	 hillHMT	 KrepHST	 hillrepHST	 KMG	 hillMG	 VdegHXT	 threshdegHXT	 hilldegHXT	 basaldegM2	 KrepSTM2	 hillrepSTM2	 KrepHM2	 hillrepHM2	 KinhSM2	 KrepM2MT	 hillrepM2MT	 VinactGM2	 KinactGM2	 hillinactGM2	
paramset_r2tbyl	 4.881	 0.285	 0.055	 1.905	 -4.677	 2.418	 0.000	 0.398	 -0.856	 2.307	 -0.267	 0.000	 -4.722	 4.375	 3.973	 -10.066	 0.000	 -2.782	 0.547	 0.460	 0.685	 -1.712	 0.000	 -5.707	 -18.833	 0.000	 1.701	 -1.889	 1.403	 -4.867	 1.103	 2.877	 -3.176	 0.945	 2.185	 -3.276	 6.419	

paramset_fzuyhk	 4.881	 0.285	 0.055	 1.905	 -4.677	 2.418	 0.000	 0.398	 -0.856	 2.307	 -0.267	 0.000	 -4.722	 4.375	 3.973	 -10.066	 0.000	 -2.782	 0.547	 0.460	 0.685	 -1.712	 0.000	 -5.707	 -18.833	 0.000	 1.701	 -1.889	 1.403	 -4.867	 1.103	 2.877	 -3.176	 0.945	 2.185	 -3.276	 6.419	
paramset_594bu7	 4.783	 0.527	 -0.206	 1.157	 -3.840	 3.140	 0.743	 1.214	 -0.835	 3.171	 -0.916	 0.848	 -5.649	 3.729	 4.016	 -10.708	 -0.276	 -2.032	 0.157	 -0.009	 0.529	 -0.890	 0.328	 -6.362	 -19.310	 0.588	 1.512	 -2.049	 1.010	 -5.511	 0.743	 2.971	 -2.199	 0.814	 1.651	 -3.398	 5.902	
paramset_er85s4	 4.472	 0.911	 0.961	 1.686	 -4.447	 2.422	 -0.395	 -0.270	 -0.009	 1.366	 0.322	 0.662	 -5.145	 5.031	 4.161	 -9.470	 0.593	 -3.307	 0.721	 -0.149	 0.631	 -2.293	 0.543	 -5.832	 -18.997	 -0.769	 0.949	 -2.394	 0.491	 -5.629	 0.440	 3.382	 -2.447	 1.167	 2.193	 -3.458	 6.595	
paramset_fszwv4	 5.823	 0.090	 -0.128	 2.064	 -4.824	 2.364	 -0.567	 1.270	 -0.482	 2.473	 0.251	 0.643	 -4.076	 4.201	 3.306	 -10.702	 -0.653	 -3.623	 -0.025	 0.203	 0.966	 -0.774	 0.686	 -6.049	 -18.850	 0.597	 2.667	 -1.376	 0.628	 -4.378	 0.335	 3.095	 -4.084	 1.085	 2.013	 -3.237	 5.536	
paramset_vscg62	 5.437	 0.103	 -0.786	 2.524	 -4.449	 2.800	 -0.277	 -0.593	 -0.183	 2.195	 -0.242	 0.005	 -4.727	 4.241	 4.444	 -9.842	 -0.779	 -3.567	 -0.105	 1.207	 0.344	 -2.532	 -0.343	 -5.392	 -19.658	 -0.865	 1.591	 -1.769	 2.169	 -5.618	 0.161	 3.124	 -3.679	 0.382	 1.841	 -2.820	 7.161	
paramset_nzudmv	 5.524	 -0.431	 -0.813	 1.549	 -4.295	 2.633	 0.835	 1.232	 -1.323	 3.304	 -1.005	 0.965	 -5.647	 4.144	 4.577	 -9.783	 -0.075	 -2.073	 -0.165	 -0.095	 0.706	 -2.499	 -0.084	 -6.183	 -19.013	 0.575	 2.519	 -2.119	 2.203	 -4.763	 0.840	 2.575	 -3.585	 1.903	 1.546	 -3.981	 7.013	
paramset_vl96xc	 4.616	 0.770	 0.510	 2.598	 -4.728	 1.423	 -0.641	 0.689	 0.124	 1.632	 -0.564	 -0.321	 -3.790	 4.479	 3.074	 -9.363	 -0.810	 -2.026	 1.287	 0.427	 -0.100	 -2.557	 0.754	 -6.215	 -18.869	 -0.125	 2.227	 -1.961	 2.241	 -4.641	 1.509	 1.950	 -2.498	 1.213	 1.434	 -2.834	 6.590	
paramset_7g1or6	 4.217	 0.275	 0.302	 2.482	 -3.717	 2.891	 -0.699	 -0.171	 0.069	 2.886	 -0.105	 -0.045	 -5.332	 4.251	 3.330	 -9.767	 0.434	 -3.499	 0.791	 1.410	 0.022	 -1.627	 0.411	 -5.622	 -17.944	 0.379	 1.037	 -1.845	 1.027	 -4.713	 0.368	 2.371	 -2.736	 1.401	 2.620	 -2.411	 6.678	
